2002,Ticker,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003
0.0,ABF.L,69.26,75.31,76.44,75.4,75.57,75.53,75.31,70.16,61.71,65.36,61.92,61.55,64.9,38.92,36.87,34.61,27.24,39.27,46.93,0.0
39.24,SSE.L,79.95,82.59,74.04,60.73,62.56,60.21,65.64,64.41,60.97,57.83,60.85,64.75,69.31,66.86,69.62,55.96,57.41,56.1,38.53,43.49
0.0,STAN.L,88.83,87.52,88.44,86.05,86.18,85.31,72.78,79.99,73.64,80.4,79.44,80.73,73.41,62.13,59.41,62.32,54.21,56.97,45.98,0.0
0.0,IMB.L,81.11,72.04,73.15,74.69,72.23,73.79,76.54,80.18,84.07,86.95,83.29,83.65,82.57,74.65,72.02,68.36,72.92,65.09,0.0,0.0
0.0,LGEN.L,78.28,78.72,79.25,78.1,69.71,75.04,76.09,72.58,71.3,70.08,72.98,75.14,74.75,70.33,78.68,64.41,51.26,57.5,0.0,0.0
0.0,AV.L,72.94,76.04,72.1,73.86,77.75,76.61,76.75,80.06,80.26,82.63,78.18,74.1,81.97,62.24,58.36,47.11,72.69,63.16,0.0,0.0
0.0,IHG.L,77.3,83.33,83.01,76.53,72.52,73.85,66.92,73.38,68.39,66.58,66.34,66.82,74.67,73.75,73.75,50.02,33.65,30.41,51.66,46.68
37.55,SGE.L,52.55,44.28,42.76,51.46,51.19,50.02,58.4,55.86,58.9,63.44,48.38,47.7,46.05,47.13,32.43,33.34,21.04,37.83,40.19,25.16
0.0,SMT.L,11.96,13.2,17.52,15.14,15.69,15.24,20.4,22.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.93,RTO.L,77.56,71.74,63.86,70.74,68.88,70.13,59.09,62.84,63.3,62.09,66.69,80.26,56.08,47.67,38.41,43.23,52.38,45.76,52.55,62.01
44.53,SGRO.L,76.83,77.02,76.07,76.36,72.25,71.56,74.38,71.75,75.0,63.33,73.27,72.3,73.36,61.22,67.44,63.17,47.25,41.83,48.68,30.04
