Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2019-07-01,68.05000305175781,74.37000274658203,68.05000305175781,68.9000015258789,55.00416946411133,53947028,AAF.L
2019-08-01,69.0,71.5,63.45000076293945,67.0,53.487361907958984,22779111,AAF.L
2019-09-01,68.0,69.94999694824219,47.0,50.79999923706055,40.554595947265625,125346846,AAF.L
2019-10-01,48.459999084472656,67.7229995727539,47.7599983215332,63.5,50.69324493408203,27029978,AAF.L
2019-11-01,66.5,81.55000305175781,61.16999816894531,78.8499984741211,62.94743728637695,48372361,AAF.L
2019-12-01,76.0,82.44999694824219,75.05000305175781,79.94999694824219,66.66229248046875,95084238,AAF.L
2020-01-01,79.94999694824219,80.6500015258789,66.55000305175781,73.0,60.867374420166016,25154542,AAF.L
2020-02-01,70.5,78.3499984741211,60.564998626708984,64.8499984741211,54.07190704345703,20368941,AAF.L
2020-03-01,66.75,67.8499984741211,25.739999771118164,41.119998931884766,34.28584289550781,42881712,AAF.L
2020-04-01,39.20000076293945,45.099998474121094,33.70000076293945,40.20000076293945,33.51874542236328,24852995,AAF.L
2020-05-01,41.0,42.95000076293945,33.5,34.0,28.349191665649414,56892850,AAF.L
2020-06-01,35.599998474121094,69.19999694824219,35.347999572753906,62.5,52.11247634887695,87347534,AAF.L
2020-07-01,62.5,65.30000305175781,52.099998474121094,53.79999923706055,44.858421325683594,19680120,AAF.L
2020-08-01,56.0,61.5,53.07600021362305,57.0,49.94319152832031,17341288,AAF.L
2020-09-01,59.599998474121094,67.0,55.79999923706055,58.400001525878906,51.169864654541016,29371866,AAF.L
2020-10-01,60.400001525878906,69.80000305175781,57.29999923706055,61.70000076293945,54.061309814453125,18582756,AAF.L
2020-11-01,64.5999984741211,83.33899688720703,58.400001525878906,80.0,70.09569549560547,65146646,AAF.L
2020-12-01,77.69999694824219,96.30000305175781,70.30000305175781,75.5999984741211,67.19806671142578,128530814,AAF.L
2021-01-01,75.5999984741211,83.4000015258789,72.4000015258789,79.5,70.66463470458984,38016421,AAF.L
2021-02-01,79.0,83.89600372314453,74.5479965209961,79.69999694824219,70.84241485595703,30358298,AAF.L
2021-03-01,79.9000015258789,91.69999694824219,76.30000305175781,79.30000305175781,70.48688507080078,35453244,AAF.L
2021-04-01,80.80000305175781,87.19999694824219,70.30000305175781,76.0,67.55362701416016,62747766,AAF.L
2021-05-01,76.0,82.0999984741211,74.30000305175781,78.75,69.99799346923828,43258031,AAF.L
2021-06-01,79.1500015258789,84.8499984741211,76.0,77.05000305175781,68.48693084716797,42335877,AAF.L
2021-07-01,79.30000305175781,89.25,77.4000015258789,89.25,81.02950286865234,46125759,AAF.L
2021-08-01,91.5,100.0,86.5999984741211,92.94999694824219,84.38871765136719,31632583,AAF.L
2021-09-01,95.0,105.0,92.3499984741211,99.69999694824219,90.51700592041016,33137363,AAF.L
2021-10-01,98.55000305175781,117.0999984741211,92.44999694824219,109.5999984741211,99.5051498413086,34988788,AAF.L
2021-11-01,109.80000305175781,139.6999969482422,104.80000305175781,124.80000305175781,113.30513000488281,80068251,AAF.L
2021-12-01,122.9000015258789,134.0,120.5999984741211,133.6999969482422,122.76199340820312,29037050,AAF.L
2022-01-01,133.6999969482422,152.60000610351562,133.3000030517578,152.5,140.0239715576172,91373042,AAF.L
2022-02-01,156.39999389648438,163.13999938964844,130.5,142.10000610351562,130.4748077392578,89589128,AAF.L
2022-03-01,141.3000030517578,156.16900634765625,122.60099792480469,139.5,128.08749389648438,154865111,AAF.L
2022-04-01,141.89999389648438,150.6999969482422,132.39999389648438,146.60000610351562,134.60665893554688,69942691,AAF.L
2022-05-01,146.60000610351562,163.10000610351562,128.1999969482422,154.60000610351562,141.95217895507812,102725896,AAF.L
2022-06-01,155.0,160.35800170898438,126.30000305175781,135.1999969482422,124.1392822265625,103038980,AAF.L
2022-07-01,136.8000030517578,173.10000610351562,134.10000610351562,158.8000030517578,149.063232421875,80218242,AAF.L
